feature,importance
original_price,0.14455
current_price,0.13783
stock_quantity,0.13488
price_gap,0.07618
markdown_percentage,0.07022
season_Summer,0.03031
brand_Ann Taylor,0.01829
size_L,0.01733
season_Fall,0.01704
season_Spring,0.01673
brand_Gap,0.01659
category_Tops,0.01633
category_Outerwear,0.0159
size_XS,0.01575
season_Winter,0.0156
category_Bottoms,0.01522
category_Shoes,0.0146
brand_Banana Republic,0.01406
size_XL,0.01315
discount_flag,0.01253
size_XXL,0.01239
color_Gray,0.01233
color_Red,0.01232
size_S,0.01202
category_Dresses,0.01187
color_Black,0.01142
brand_Mango,0.01093
size_M,0.01071
color_Green,0.01055
brand_Zara,0.00982
brand_Forever21,0.00846
brand_H&M,0.00843
color_Beige,0.00769
brand_Uniqlo,0.00761
color_White,0.00753
color_Purple,0.00732
color_Pink,0.00712
color_Navy,0.0063
color_Blue,0.00604
color_Brown,0.00604
