brand_clean,Country,avg_worker_wage,livable_wage,wage_gap_usd,wage_ratio,meets_living_wage_rate,brand
forever21,Bangladesh,151.1818,95.0,56.1818,1.5914,85.7143,Forever21
forever21,Brazil,144.3891,257.0,-112.6109,0.5618,1.5385,Forever21
forever21,China,153.8039,315.0,-161.1961,0.4883,0.0,Forever21
forever21,India,146.8118,136.0,10.8118,1.0795,62.9032,Forever21
forever21,Indonesia,142.4117,102.0,40.4117,1.3962,79.7101,Forever21
forever21,Turkey,152.8391,282.0,-129.1609,0.542,0.0,Forever21
forever21,Vietnam,149.1284,205.0,-55.8716,0.7275,14.5161,Forever21
h&m,Bangladesh,150.4903,95.0,55.4903,1.5841,89.3939,H&M
h&m,Brazil,155.1367,257.0,-101.8633,0.6036,1.8182,H&M
h&m,China,157.116,315.0,-157.884,0.4988,1.7544,H&M
h&m,India,148.6178,136.0,12.6178,1.0928,61.194,H&M
h&m,Indonesia,140.8656,102.0,38.8656,1.381,77.2727,H&M
h&m,Turkey,150.8083,282.0,-131.1917,0.5348,0.0,H&M
h&m,Vietnam,162.4855,205.0,-42.5145,0.7926,20.0,H&M
uniqlo,Bangladesh,154.7025,95.0,59.7025,1.6284,87.3016,Uniqlo
uniqlo,Brazil,143.2423,257.0,-113.7577,0.5574,1.7857,Uniqlo
uniqlo,China,145.3858,315.0,-169.6142,0.4615,0.0,Uniqlo
uniqlo,India,152.4599,136.0,16.4599,1.121,59.7015,Uniqlo
uniqlo,Indonesia,139.6989,102.0,37.6989,1.3696,77.7778,Uniqlo
uniqlo,Turkey,147.4379,282.0,-134.5621,0.5228,0.0,Uniqlo
uniqlo,Vietnam,147.5142,205.0,-57.4858,0.7196,10.5263,Uniqlo
zara,Bangladesh,147.7613,95.0,52.7613,1.5554,87.037,Zara
zara,Brazil,149.2525,257.0,-107.7475,0.5807,0.0,Zara
zara,China,154.5189,315.0,-160.4811,0.4905,0.0,Zara
zara,India,148.3426,136.0,12.3426,1.0908,57.3529,Zara
zara,Indonesia,141.1844,102.0,39.1844,1.3842,77.4194,Zara
zara,Turkey,158.1629,282.0,-123.8371,0.5609,1.5385,Zara
zara,Vietnam,149.8673,205.0,-55.1327,0.7311,17.8571,Zara
