product_id,brand,category,season,current_price,markdown_percentage,stock_quantity,customer_rating,is_returned,predicted_return_risk
FB000001,Zara,Outerwear,Spring,196.01,0.0,37,3.0,0,0.1158
FB000002,Uniqlo,Tops,Winter,119.64,0.0,2,2.5,0,0.1159
FB000003,Uniqlo,Accessories,Winter,33.8,0.0,22,4.3,0,0.1395
FB000004,Uniqlo,Shoes,Spring,75.36,0.0,48,2.6,0,0.1296
FB000005,Banana Republic,Tops,Winter,105.02,0.0,10,,0,0.0779
FB000006,Zara,Accessories,Fall,22.63,35.4,38,2.9,1,0.1681
FB000007,Zara,Bottoms,Spring,24.49,54.5,38,2.6,0,0.1201
FB000008,Mango,Dresses,Winter,71.32,22.1,47,1.6,0,0.1552
FB000009,Uniqlo,Outerwear,Spring,198.58,12.8,14,,0,0.1005
FB000010,H&M,Outerwear,Fall,221.33,10.9,37,,0,0.0857
FB000011,Mango,Tops,Spring,116.84,0.0,3,4.4,0,0.1544
FB000012,Uniqlo,Shoes,Winter,146.98,0.0,2,3.4,0,0.057
FB000013,Ann Taylor,Bottoms,Spring,37.51,0.0,43,,0,0.2088
FB000014,Uniqlo,Dresses,Fall,48.15,0.0,39,1.6,0,0.1297
FB000015,Mango,Tops,Winter,79.66,0.0,7,1.7,0,0.0954
FB000016,Mango,Accessories,Winter,67.57,0.0,17,2.4,0,0.1827
FB000017,Gap,Shoes,Summer,123.53,0.0,14,4.6,0,0.162
FB000018,Ann Taylor,Tops,Winter,102.35,0.0,14,3.5,0,0.1247
FB000019,Mango,Outerwear,Summer,57.25,58.5,16,4.1,0,0.118
FB000020,Banana Republic,Outerwear,Summer,142.59,0.0,1,3.7,0,0.243
FB000021,Mango,Bottoms,Fall,26.06,21.8,42,,0,0.1464
FB000022,Zara,Accessories,Spring,62.3,0.0,10,2.5,0,0.0612
FB000023,Zara,Accessories,Winter,38.48,0.0,46,1.2,0,0.195
FB000024,Banana Republic,Dresses,Summer,91.36,0.0,37,1.2,1,0.294
FB000025,Forever21,Tops,Fall,57.05,29.1,38,3.6,0,0.0839
FB000026,Uniqlo,Bottoms,Spring,26.99,34.0,16,3.7,0,0.1736
FB000027,Banana Republic,Bottoms,Summer,30.11,36.0,25,1.1,1,0.4423
FB000028,Gap,Bottoms,Summer,53.37,0.0,28,3.8,0,0.3543
FB000029,Ann Taylor,Dresses,Summer,114.35,0.0,6,1.2,0,0.1412
FB000030,Gap,Shoes,Spring,77.63,0.0,1,,0,0.095
FB000031,Uniqlo,Shoes,Summer,71.29,0.0,37,4.1,1,0.2264
FB000032,Gap,Tops,Spring,28.3,24.4,5,,0,0.0816
FB000033,Zara,Shoes,Spring,143.78,0.0,43,1.1,0,0.1284
FB000034,Banana Republic,Tops,Summer,88.23,0.0,44,1.6,0,0.1949
FB000035,Forever21,Accessories,Fall,58.57,0.0,38,1.5,0,0.1013
FB000036,Uniqlo,Tops,Winter,112.88,5.7,37,4.9,0,0.1471
FB000037,Banana Republic,Bottoms,Fall,50.67,47.8,31,4.1,0,0.1399
FB000038,Banana Republic,Dresses,Summer,110.09,0.0,32,3.4,0,0.1483
FB000039,Zara,Shoes,Winter,170.24,14.2,10,,0,0.0652
FB000040,Banana Republic,Bottoms,Winter,101.72,0.0,40,,0,0.1262
FB000041,Uniqlo,Tops,Summer,117.86,0.0,6,,0,0.1414
FB000042,Ann Taylor,Tops,Summer,78.86,0.0,22,4.3,0,0.249
FB000043,Zara,Outerwear,Winter,105.05,51.4,36,4.0,0,0.2133
FB000044,Zara,Shoes,Spring,129.85,0.0,36,3.3,0,0.1352
FB000045,Banana Republic,Tops,Winter,111.3,0.0,11,1.7,0,0.1007
FB000046,Uniqlo,Dresses,Summer,73.65,0.0,33,3.6,0,0.2232
FB000047,Mango,Shoes,Summer,102.55,30.3,13,4.4,0,0.0947
FB000048,Ann Taylor,Accessories,Winter,20.56,53.9,42,2.4,0,0.266
FB000049,Forever21,Bottoms,Summer,101.8,0.0,7,2.8,0,0.1304
FB000050,Banana Republic,Accessories,Summer,7.29,55.9,43,,0,0.2274
FB000051,H&M,Bottoms,Fall,50.91,0.0,3,1.8,0,0.1622
FB000052,Forever21,Outerwear,Spring,222.26,0.0,50,4.5,0,0.1171
FB000053,Gap,Shoes,Summer,44.68,57.1,14,1.8,0,0.0859
FB000054,Zara,Outerwear,Spring,166.76,0.0,21,4.2,0,0.1243
FB000055,Banana Republic,Accessories,Fall,21.67,50.9,21,3.0,0,0.2101
FB000056,Gap,Outerwear,Summer,102.85,15.2,42,,0,0.2075
FB000057,H&M,Tops,Spring,73.71,0.0,35,3.9,1,0.1259
FB000058,Zara,Bottoms,Spring,61.96,26.3,19,2.3,1,0.1555
FB000059,Mango,Tops,Summer,28.59,0.0,39,1.4,0,0.1328
FB000060,Mango,Shoes,Winter,162.16,2.6,27,,0,0.1213
FB000061,Ann Taylor,Shoes,Summer,136.32,6.6,15,4.0,0,0.1227
FB000062,Gap,Outerwear,Fall,218.42,0.0,33,4.4,1,0.105
FB000063,Forever21,Accessories,Winter,45.66,1.1,30,1.9,0,0.1225
FB000064,H&M,Shoes,Summer,87.07,18.0,11,4.5,0,0.1367
FB000065,Zara,Tops,Winter,91.09,2.4,20,4.2,0,0.1405
FB000066,Mango,Bottoms,Spring,67.76,21.7,21,3.6,1,0.3047
